Brand,Description,EndingInventoryUnits,UnsoldCapital
22053,Lokoya Diamond Mtn Cab Svgn,12,3899.88
22054,Lokoya Spring Mtn Cab Svgn,30,9749.7
22055,The Girls in the Vineyard Wh,45,899.55
22065,Dom Zind Humbrecht Rsl 12,23,505.77
22067,Dom Zind Humbrecht Pnt Bl 12,16,351.84
22077,C Y Toro Casa Diablo Chard,211,2107.89
22079,C Y Toro Casa Diblo Cab Svgn,2421,24185.79
22080,Hacienda Zargon Merlot,55,549.45
22081,Hacienda Zargon Cab Svgn,24,239.76
22086,Queens Peak Cab Svgn Sonoma,24,335.76
22087,Juxtapoz Red North Cst,138,2068.62
22092,Latour L'Ardeche Chard,29,376.71000000000004
22093,Trione Family Vyds Svgn Bl,24,599.76
22094,Trione Family Vyds Red Blend,12,395.88
22098,LAN Grand Reserva Rioja,3,71.97
22103,Nodus Cava Brut,12,203.88
22105,Castello Di Cacchiano Chiant,10,399.9
22107,Emmolo Merlot,23,1333.77
22119,Don Simon Selecion Chard,3,14.97
22120,Don Simon Selecion Shiraz,26,129.74
22138,Madame Fleur Rose Vin d Pays,16,127.84
22143,Simi Cab Svgn,2377,32778.83
22149,Paso Robles Svgn Bl,20,145.8
22169,Billecart-Salmon Brut Rsv,20,499.79999999999995
22170,Bone Shaker Znfdl,272,5981.28
22171,Lucienne Smith Vyd Pnt Nr,51,2294.4900000000002
22173,Lucienne Doctor's Vyd Pnt Nr,9,431.91
22174,QM Alvarinho White,109,2396.91
22183,Ninety+Cellars Lot 112 Svgn,0,0.0
22188,Villa Maria Private Bin Red,2,25.98
22192,Placido Chianti,342,4442.58
22194,Placido Pinot Grigio Venezi,648,8417.52
22195,Placido Pinot Grigio Venezi,5,44.95
22206,MU Creamy Vanilla Latte,1,12.99
22207,Star Insolia Chard,13,207.87
22209,The Insider Cab Svgn,19,341.80999999999995
22220,Salted Caramel Martini Wine,3,28.47
22222,LaLuca Prosecco,381,5330.1900000000005
22223,Auspicion Cabernet Sauvignon,21,293.79
22225,Gifft Chardonnay,0,0.0
22226,Geyser Peak Pnt Nr,22,395.78
22227,Gifft Red Blend,54,755.46
22228,Luiano Ottantuno Chianti,54,2213.46
22230,Glam Prosecco,0,0.0
22238,Seven Sisters Cab Svgn,7,97.93
22247,Piccolo Fiore Rosso di Sicil,2,15.58
22263,Volker Eisele Family Est Cab,32,1599.68
22264,Cuttings Cab Svgn,159,7948.41
22270,Markham Cab Svgn,148,5918.52
22274,Complicated Chard,174,1616.4599999999998
22275,Markham Merlot,389,8943.11
22276,Menage a Trois Prosecco,52,779.48
22279,Cruz Garcia Real Sangria Rd,24,155.76
22282,Sycamore Lane Pnt Nr,12,101.88
22289,Pichot Dom Moriette Vouvray,440,6595.6
22291,Locations E Red Spanish,375,6746.249999999999
22292,Locations F Red France,33,659.67
22294,The Calling Pnt Nr RRV,83,2074.1699999999996
22297,Zorvino Vyds Pearz,677,6763.2300000000005
22298,Zorvino Vyds Sangiovese,684,8543.16
22318,Lecciaia Brunello M Reserve,145,6233.55
22324,Hillinger Leitheberg Blaufra,2,33.98
22326,Saved Red,354,7076.46
22336,EnRoute Pnt Nr,39,2183.61
22337,Maison L'Envoye The Attache,10,369.90000000000003
22338,Maison L'Envoye Two Messenge,8,207.92
22339,Heartland Spice Trader Sh/CS,365,5836.35
22344,Rioja Bordon Rsva Tempranllo,350,5596.5
22345,Rioja Bordon Gran Rsva Tempr,44,1099.56
22347,Capezzana Barco Reale d Carm,44,571.5600000000001
22349,Callaway Svgn Bl Cellar Slct,19,113.81
22352,Terlato Fmly Vyd Angels Peak,4,139.96
22353,Dylan's Ghost Hell Hollow CS,27,1079.73
22355,Wairau River Svgn Bl,10,159.9
22356,Lake Chalice Svgn Bl,7,111.93
22357,Lake Chalice Pnt Nr,10,219.89999999999998
22358,Seifried Nelson Svgn Blanc,10,159.9
22359,Maimai Hawke's Bay Svgn Bl,5,69.95
22360,Carrick Unravelled Pnt Nr,9,224.91
22362,Barefoot Bubbly Peach Fusion,423,4225.7699999999995
22363,Andre Moscato,32,175.68
22364,Andre Pink Moscato,12,65.88
22367,Ch Massiac Viognier,14,209.86
22384,Maimai Hawke's Bay Syrah,15,254.84999999999997
22385,Lake Chalice Cracklin Savie,24,407.76
22387,Gnarly Head Authentic Black,1002,10009.98
22389,Villa Cornaro Prosecco,458,2285.42
22390,Ch Julien Chard,33,395.66999999999996
22392,Ch Julien French Kiss,23,252.77
22395,Allegrini La Poja,66,5939.339999999999
22396,Allegrini Dedicato A Walter,8,719.92
22397,Allegrini Solosole Vermentin,71,1419.29
22398,Allegrini Sondraia,175,7873.25
22399,Truchard Vyds The Shepard Rd,64,1407.36
22400,Dom Clape August Cornas 10,0,0.0
22402,Aska Bolgheri Rosso,1,28.99
22404,La Pettegola Vermentino,9,161.90999999999997
22406,Three Wishes Cab Svgn,14,46.06
22407,Three Wishes Chard,25,82.25
22408,Three Wishes Merlot,18,59.22
22416,Layer Cake Sea of Stones Red,366,5852.34
22417,Elouan Pnt Nr Oregon,111,1419.6899999999998
22418,Pizzolato Moscato,41,573.59
22420,Farm Napa Vly Chard,16,399.84
22421,Marchesi di Barolo Monferrat,573,7443.27
22422,Stephanie-Aviron Bjls Vlg 12,32,447.68
22426,Zapata White Stones Chard,4,359.96
22431,Jos Faiveley Chablis AC 12,4,107.96
22432,Dom Faiveley LatricChmbrt 12,3,644.97
22433,Dom Prieur Meurslt Mazray 13,8,607.92
22439,S Aviron Cd Brouilly 12 Viel,16,303.84
22440,S Aviron 12 Fleurie Madrieir,18,395.81999999999994
22441,Omaka Springs Svgn Bl,471,7060.29
22448,Jam Cab Svgn,384,6908.16
22449,Bota Brick Pnt Grigio,15,149.85000000000002
22450,Bota Brick Cab Svgn,8,79.92
22451,Bota Brick Chard,26,259.74
22455,The Black Dog Cab Svgn,0,0.0
22456,L'Ecole No 41 Red Columbia V,39,896.6099999999999
22457,L'Ecole No 41 Chard Columbia,28,699.7199999999999
22458,Casa Lapostolle Canto Apalta,6,125.94
22459,Belcreme de Lys Pnt Nr,11,109.89
22460,Uppercut Chard,17,237.83
22470,Stellar Organics Merlot,1,12.99
22471,Dom Specht Rsl Alsace,8,135.92
22472,Achaval Ferrer Cab Svgn,3,68.97
22473,Cakebread Clrs Cab Svgn 11,5,649.95
22474,The White Doe White,7,111.93
22475,MSH Cellars Svgn Bl Napa Vly,12,143.88
22478,Mionetto IL Lambrusco Sprklg,0,0.0
22490,Can Blau Tinto Montsant,18,287.82
22500,Chaman Petit Verdot,8,159.92
22504,Dom Gres St Vincent CdR Vlgs,23,183.77
22508,Blindfold White,196,5878.04
22509,Alderbrook Pnt Nr RRV,139,2500.6099999999997
22515,Justin Vyds Svgn Bl Ctrl Cst,371,4819.29
22516,J Lohr Cypress Brl Frm Chard,29,260.71000000000004
22517,J Lohr Cypress Cab Svgn,16,143.84
22524,Dry Creek Vyds Est Block 10,102,3058.9799999999996
22531,BV Coastal Estate Chard,1129,9020.710000000001
22534,Jadot Fixin 12,2,69.98
22539,Jadot Beaune Bressandes 12,1,44.99
22544,Jadot Pernand Vergelesses 12,2,69.98
22547,Jadot Savigny Narbantons 12,1,34.99
22549,Jadot Savigny Les Beaune 12,8,279.92
22552,Jadot Santenay Malte Roug 12,6,209.94
22554,Jadot Pernand Croix Blanc 12,4,139.96
22559,Jadot Ch Des Jacques 12,1,29.99
22560,Hoya de Cadenas Cava,31,511.19
22562,High Note 1100 Meter Red,28,279.72
22566,LaBelle Winery 2013 Dry Rsl,934,13066.66
22567,Our Daily Red Cab Svgn,2,19.98
22568,Beringer The Waymaker Red,193,3858.0699999999997
22569,Bota Box Svgn Bl,237,4263.629999999999
22572,Freeman Vyd Pnt Nr RRV,42,1889.5800000000002
22579,Fox Brook Cab Svgn,19,132.81
22581,Fox Brook Pnt Grigio,14,97.86
22583,Cambria Benchbreak Pnt Nr,1200,23987.999999999996
22584,Cambria Benchbreak Chard,898,16155.019999999999
22591,Ch Manos Cadillac,145,2318.55
22593,The Divining Rod Red,348,3824.52
22595,CK Mondavi Blonde Five,6,65.94
22596,Erath Leland Pnt Nr,11,406.89000000000004
22597,Erath Prince Hill Pnt Nr,22,813.7800000000001
22598,Animo Cab Svgn,136,9518.64
22599,Antica Fratta Franciacorta B,3,46.47
22600,Jos Phelps Insignia 11,3,1079.97
22601,Jos Phelps Insignia 11,43,7739.570000000001
22621,A Bichot Adelie Mercury,17,577.83
22622,A Bichot Savigny Beaune,0,0.0
22624,A Bichot Merc Champs M,0,0.0
22625,True Myth Cab,338,6080.62
22626,Ryan Patrick Redhead Red,12,143.88
22629,Ryan Patrick Ryan's Rsl,28,307.72
22630,Ryan Patrick Rsv Cab,50,1499.5
22633,Buil & Gine Priorat White,10,239.89999999999998
22643,Chartron Trebuchet Puligny,9,566.91
22644,Gaston & Ravaut Bourgn Chard,12,335.88
22645,Gaston & Ravaut Bourgog Vlg,140,4198.599999999999
22646,Guillaume Vrignaud Chablis,28,727.72
22647,Guillaume Vrignaud Chablis 1,0,0.0
22648,San Felice Il Grigio Gr Sel,117,4561.83
22649,San Felice Campogiovanni Bru,74,3699.26
22653,Esser Vyds Chard,36,539.6400000000001
22656,Iron Horse Est Pnt Nr,43,859.5699999999999
22657,Iron Horse Est Chard,25,724.75
22659,Iron Horse Wedding Cuvee,14,545.86
22662,Trefethen Chard Napa,339,11183.61
22663,Iron Horse Ocean Rsv Nationa,78,1559.2199999999998
22664,B & G Sancerre Svgn Bl,3,71.97
22665,Trefethen Cab Svgn,302,16304.98
22671,Round Hill Chard,14,195.86
22672,Mumm Brut Cve Napa,175,1223.25
22696,Delish Svgn Bl,278,2777.2200000000003
22697,Girard Old Vine Znfdl,341,8180.589999999999
22700,Paul Hobbs Pnt Nr Katherine,2,169.98
22703,Carne Humana Red,17,594.83
22725,Adelsheim Chard Willmete Vly,105,2413.95
22737,Rotation Chard,24,287.76
22739,C&P Breton  Les Perrieres,24,1151.76
22740,C&P Breton Chinon St Louand,19,474.80999999999995
22743,Austerity Pnt Nr,20,279.8
22744,Austerity Chard,34,475.65999999999997
22745,Falesco Montiano,20,999.8
22750,Franzia Refreshing White Ta,22,329.78
22756,LaMarca Prosecco,32,831.68
22757,Black Opal Cshmre Cab/Merlot,64,511.36
22758,Copain Tous Ensemble 12 Chrd,231,3693.69
22763,Los Dos Moscato & Chard,45,449.55
22765,Renacer Red Mendoza,9,539.91
22768,Stags Leap Hand of Time Red,6,143.94
22776,Claudia Papayianni 08 Red,12,239.88
22778,Orestiadi Ludovico,52,1455.48
22782,La Roquete Chat du Pape Red,66,3497.34
22786,Masi Brolo Campofiorin,1,28.99
22793,Kenwood Yulupa Pnt Nr,25,224.75
22794,Kenwood Yulupa Cuvee Brut,55,164.45000000000002
22796,Raymond Generations Cab Svgn,54,5399.459999999999
22798,Elk Cove La Boheme Pnt Nr,57,2678.4300000000003
22799,Farmers of Wine Italian Red,31,495.69
22801,Fetzer Valley Oaks Cab Svgn,702,9118.98
22809,Opici Toscano Twist Neck Box,135,1618.65
22813,Angels Landing Cab Svgn,113,2258.87
22819,Rozes Infanta Isabel 10 Yr,28,699.72
22820,Rozes Vintage 2000 Old Port,99,4256.01
22821,Corvo Pnt Grigio,126,1258.74
22822,Corvo Pnt Nr,329,3944.71
22827,Taittinger La Francaise,1,84.99
22828,Beaux Freres Vyds Pnt Nr,2,179.98
22830,Beaux Freres Pnt Nr Will Vly,37,2219.63
22833,Grady Family Vyds Cab Svgn,11,164.89000000000001
22835,Santa Giustina Il Superiore,12,179.88
22836,Veracruz Joven Verdejo,169,2364.31
22838,Vinchio Vaglio Barbera,82,983.1800000000001
22840,Banfi Poggio All'Oro Br Mont,37,4809.63
22841,Banfi Poggio Alle Mura Rsva,23,2299.77
22842,Corral De Peidra Cab Svgn,395,4341.05
22849,XO Pnt Nr,12,155.88
22853,Venta Morales Organic Tempra,8,67.92
22854,Vega Sindoa Cab Svgn Navarra,341,4429.59
22857,Freedom Hill Vyd Pnt Nr,46,1333.54
22858,Canary Hill Vyd Pnt Nr,47,1362.53
22860,Graham's Six Grapes Gift Pk,13,246.86999999999998
22861,K Vintners Syrah The Hidden,31,2169.69
22863,Vino Dious Gruner Veltlnr 13,73,875.27
22864,Vino Dious Chard 13,37,480.63
22865,Vino Dious Welsch Rsl 13,55,659.45
22866,Vino Dious Cab Svgn Rose 13,47,610.53
22867,Vino Dious Cab Svgn 11,47,657.53
22883,Citra Trebbiano D'Abruzzo,120,1318.8
22895,Sutter Home Red Blend,7,41.93
22896,Sutter Home Red Blend,4,39.96
22898,Dona Paula Est Red Blend,6,71.94
22899,Simi Svgn Bl,2463,24112.769999999997
22901,Hermann J Wiemer Dry Rsl,139,2500.6099999999997
22902,Hermann J Wiemer Semi Dry Rs,173,2939.27
22903,Banfi Sangiovese CollePino,468,5143.32
22904,Mercer Canyons Cab Svgn,10,169.89999999999998
22905,Mercer Canyons Chard,10,52.900000000000006
22912,Ladoix Bois Roussot,9,440.91
22913,Jean-Marc Morey Beaune Greve,0,0.0
22914,Mount Veeder Cab Svgn,553,16031.47
22915,Pernand-Vergelesses Fichots,4,195.96
22918,Blossom Hill Merlot,12,131.88
22919,Complicated Pnt Nr,268,5089.32
22922,Patricius Tokaj Furmint,15,104.85
22924,Patricius Sarga Muskotaly,26,181.74
22928,Desert Wind Ruah Red,61,1341.3899999999999
22932,Dr Konstantin Frank Pnt Nr,12,263.88
22933,Carol Shelton Coquille Blanc,5,109.94999999999999
22934,Carol Shelton Rocky Rsv Znfd,52,1715.48
22935,Adelsheim Bryan Creek Pnt Nr,51,3569.49
22937,Tranzind Red Blend,60,959.4000000000001
22938,Black Stallion Carnrs Pnt Nr,333,6656.669999999999
22939,Lynch Bages 09 Pauillac,3,1964.97
22941,Haut-Bailly Pessc Leognan 06,14,4885.860000000001
22942,Clos de Marquis 09 St Julien,24,5615.76
22943,D'Armailhac Pauillac 05,21,5816.79
22944,Talbot St Julien 10,24,6119.76
22950,Pierre Andre Chablis,55,1594.4499999999998
22951,Pierre Andre Meursault,238,12135.62
22957,Guigal Cote Rotie Br et Blnd,15,974.8499999999999
22958,Cavit Select Red Blend,13,116.87
22963,Phillipine de St-Cyrille CdP,397,10318.029999999999
22966,Adelsheim Auxerrois Ribbon S,8,175.92
22967,Cambria Clone-4 Pnt Nr,32,703.68
22968,Klinker Brick Marisa Znfdl,0,0.0
22970,Bluegray Priorat DOQ,10,179.89999999999998
22974,L.A. Cetto Svgn Bl,24,287.76
22995,Valckenberg Pinot Blanc,62,358.98
23013,Marietta Clrs Christo Red,180,2878.2
23014,Marietta Clrs Angeli Cuvee,116,3014.8399999999997
23015,Marietta Clrs ARME Red,182,3820.18
23018,Fetzer Rsl Cal,19,227.81
23021,Jarhead Red,166,2322.34
23022,Jarhead Chard,148,2070.52
23024,Louis de Sacy Brut Gr Cru,61,3232.39
23025,Carlo Rossi Red Sangria Cal,7,104.93
23028,Gallo Twin Vly Cab Svgn Cal,16,87.84
23029,Cherri Rosso Piceno,21,293.79
23032,Zenato Cresasso,18,899.82
23033,Jacobs Creek Two Lands Cab S,8,111.92
23035,Jacobs Creek Two Lands Shirz,17,237.83
23036,Jacobs Creek Two Lands Pnt G,24,335.76
23038,Zenato Lugana Brut,34,1019.66
23039,Trombetta Family Wines Pnt N,38,1899.6200000000001
23040,Aquilon 06 Garnacha de Borja,4,359.96
23041,Spring Valley Katherine Cab,48,1823.5200000000002
23042,Nozzole Le Bruniche Chardon,14,181.86
23043,Bella Bolle Fusione Red,1,8.99
23044,Phantom Bay Svgn Bl,26,233.74
23045,El Enemigo 11 Cab Franc Mend,60,1499.4
23049,Benziger Svgn Bl N Cst,435,3910.65
23050,Stonestreet Est Chard Sonoma,17,594.83
23060,Navarro Vyds Pnt Nr l'Ancien,14,419.86
23061,Navarro Vyds Chard,33,659.67
23064,Liberty Creek Moscato,23,80.27000000000001
23066,Toad Hollow Risque Sparkling,8,135.92
23067,Perrier Jouet Grand Brut,260,5457.4
23068,Nicolas Perrin Cote Rotie VV,33,1979.67
23069,Delamotte Bl de Bl Brut,64,1599.36
23070,Nicolas Perrin St Joseph,8,191.92
23071,Rombauer Vyds Chard Carneros,48,863.52
23076,Madrigal Znfdl,2,27.98
23078,Sbragia Home Ranch Merlot,12,263.88
23079,Bolla Torr'Alta Veronese Ros,18,269.82
23088,Villa Olmi Prosecco Ex Dry,17,169.83
23090,Angels Cup Cab Svgn,12,101.88
23095,Glen Ellen Cab Svgn RSV,2162,15112.380000000001
23098,DeLille Cellars Doyenne AIX,17,662.83
23103,DeLille Cellars Gr Ciel Cab,51,6629.49
23105,DeLille Cellars D2,114,4786.860000000001
23106,Panther Creek Pnt Gr William,29,463.71000000000004
23107,Duckhorn Howell Mtn Cab Svgn,21,3569.79
23109,DeLille Cellars Chaleur Blnc,112,4142.88
23110,Duckhorn Estates Merlot,11,1869.89
23112,Patz & Hall Hyde Vyd Chard,37,2071.63
23114,Patz & Hall Pnt Nr Sonoma Cs,129,5158.71
23116,Patz & Hall Sonoma Cst Chard,120,3958.8
23117,Trackers Crossing Moscato,3,20.97
23121,Steele Stymie Merlot Lake Cy,2,63.98
23122,Innocenti Vignalsole Rosso,207,5172.929999999999
23123,Federico Ferrero Chard Langh,225,2922.75
23126,Giorgio Carnevale Barbr Asti,233,2793.67
23129,Sensi 18K Prosecco,373,7456.2699999999995
23130,Alexanders Crown Cab Svgn,63,4598.37
23131,Davis Bynum Jane's Vy Svgn B,8,183.92
23132,Davis Bynum Jane's Vy Pnt Nr,14,699.86
23134,Carpano Bianco Vermouth,61,1402.3899999999999
23138,Toschi Chard,23,275.77
23139,Toschi Pnt Nr,19,227.81
23143,Bogle Chard,6781,60961.19
23144,Ch Andron Blanquet St Esteph,38,1215.62
23145,Ch de Chantegrive Graves Rou,59,1710.4099999999999
23146,Ch Dupray St-Emilion,44,879.56
23147,Ch Floreal Laguens Brdx,11,153.89
23148,Jekel Rsl Monterey,158,1894.42
23149,Ch Fougere La Noble Rouge,181,2351.19
23151,Ch La Bouree Castillion Brdx,48,911.52
23153,Butternut Pnt Nr Cal,633,9488.67
23155,Rocca Delle Macie Chianti C,367,6969.329999999999
23156,Bertani Amarone Valpolicell,42,4199.58
23157,Champlain Orchards Sprklng C,17,441.83000000000004
23159,Champlain Orchards Ice Cider,152,3950.48
23160,Champlain Orchards Ice Cider,69,620.3100000000001
23161,Loft Cab Svgn,143,2715.5699999999997
23167,Loft Chard,10,189.89999999999998
23168,Blanc de Bleu Mousseux Brut,198,3166.02
23170,Marchesi di Barolo Sarmsassa,19,1443.81
23172,Banfi Brunello di Montalcino,210,6297.9
23175,Taittinger Rose Cuve Presti,6,335.94
23182,Mark West Pnt Nr Willamette,10,229.89999999999998
23185,Lee Family Farm Albarino Mon,28,503.7199999999999
23186,Morgan Winery Double L  Rsl,46,1057.54
23188,Jean Dauvissat Chablis St Pi,148,4142.5199999999995
23189,Walt La Brisa Chard,101,2826.99
23190,Walt La Brisa Pnt Nr,7,272.93
23191,Clos Pegase Svgn Bl Napa,474,7105.26
23192,Martinelli Bondi Home Pnt Nr,45,2834.55
23193,Martinelli Vellu Ranch Znfdl,77,4157.23
23194,Gary Farrell RRV Chard,114,3988.86
23195,Gary Farrell RRV Pnt Nr,0,0.0
23197,Yellow Tail Sangria Blanco,299,2987.01
23200,Natura Rose,20,239.8
23201,Sterling Vntnr Coll Rose Ltd,11,142.89000000000001
23202,Truvee Chard,122,1218.78
23203,Truvee Red,114,1138.8600000000001
23204,Benvolio Prosecco Italia DOC,29,521.71
23205,M & R Prosecco Frizzante,15,239.85000000000002
23209,Uppercut Meritage,12,239.88
23211,Wild Horse Pnt Gris CC,399,6380.01
23212,The Dreaming Tree Pnt Nr CA,695,9028.050000000001
23214,White Knight Viognier,1,12.99
23215,Carmel Road The Barrymore PG,10,149.9
23220,Parducci Pnt Nr,196,2350.04
23229,Ch St Jean Belle Terre Chard,112,1678.88
23230,High Valley Svgn Bl 13 Lake,29,405.71000000000004
23231,Stags Leap The Investor Red,4,219.96
23235,Mud House Svgn Bl,261,3129.39
23236,Scaggs Vyds Mt Vedeer Montag,45,1754.5500000000002
23239,Hay Maker Svgn Bl,380,4176.2
23240,14 Hands Red Blend Ltd,0,0.0
23241,14 Hands Svgn Bl,360,3236.4
23242,Columbia Crest H3 Svgn Bl,23,252.77
23245,Torres Altos Ibericos Rioja,262,3141.38
23246,Torres Celeste Crianza,110,1758.9
23249,Rosemount Gewurz/Rsl,347,3466.53
23250,Ch de Jarnioux Bjls,10,129.9
23253,Summers Cab Svgn Rsv,17,339.83
23255,Balletto Vyds Pnt Gris,273,3273.27
23257,Jason Stephens Syrah,35,489.65000000000003
23265,Frescobaldi Monte Chianti Rs,65,2599.3500000000004
23266,Ornellaia Ornus,8,799.92
23267,Siduri Pnt Nr 13 Clos Pepe,159,7948.41
23270,Campo Viejo Gr Cava Brut Rsv,329,3286.71
23271,Darkhorse Merlot,564,4506.36
23272,Columbia Winery Red Blend,11,131.89000000000001
23273,Apothic Crush,1264,10099.36
23275,Black Ink Red Wine,347,3466.53
23279,Turnbull Syrah 11,49,1224.5099999999998
23280,Ch Clarence de Haut-Brion 11,20,2999.8
23281,Ch Lafitite Rothschild Pa 11,23,21849.77
23282,Ch Le Petit Lion Marquis 11,15,884.85
23284,Ch Les Carruades 11 Lafitte,26,5719.74
23285,Ch Meyney Saint-Estephe 11,31,1332.69
23286,Ch Pape Clement Bl Gr Cru 11,16,3199.84
23289,Ch Mouton Rothschild 11 Paui,29,20299.710000000003
23290,Ch Brane Cantenac Margaux 11,6,389.93999999999994
23291,Ch Cantenac Brown Margx 11,7,419.93
23292,Ch La Mission Haut Brion 11,29,12759.710000000001
23293,Ch Pavie Macquin St Emiln 11,20,1639.8
23294,Ch Echo de Lynch Bages Pa 11,1,49.99
23295,Ch Giscours Margaux 11 Gr Cr,5,319.95
23296,Livingston Burgundy Calif,8,63.92
23297,Fonterutoli Chianti Clsco,118,2594.8199999999997
23307,Ch St Sulpice,695,9028.050000000001
23308,Ch Canon St Emilion Gr Cr 11,27,3428.7299999999996
23309,Ch Smith Haut Laftte Roug 11,4,387.96
23321,Connetable de Talbot 11 Brdx,9,287.90999999999997
23322,Ch Suduiraut 11 Sauternes Pr,1,98.99
23323,Alter Ego de Palmer Mrgx 11,4,331.96
23324,Ch Angelus 11 Brdx,22,6159.780000000001
23325,Ch Bellevue-Mondotte 11 Emil,47,9869.53
23326,Ch Bernadotte Haut-Medoc 11,75,1874.25
23327,Ch Cheval Blanc St Emil 11,12,10799.880000000001
23328,Ch Clerc Milon Pauillac 11,18,1367.82
23329,Ch Clos d'Estournel 11 Est,35,7874.650000000001
23330,Ch de Pez St Estephe 11,1,42.99
23331,Ch Ducru Beaucaillou 11 Jul,28,4199.72
23332,Ch Haut Beausejour 11 Esteph,2,53.98
23333,Ch Lagrange St Julien 11 GC,6,359.94
23334,Ch Lalande Borie 11 Julien,3,95.97
23335,Ch Leoville Las Cases 11 Jul,22,4399.780000000001
23336,Ch Pavie St Emilion 11 Gr Cr,24,5519.76
23337,Ch Pichon Longevile 11 Comts,23,3219.7700000000004
23338,Ch Talbot St Julien 11 GC,1,54.99
23339,La Croix de Beaucaillou 11 S,13,649.87
23341,Les Fiefs de Lagrange 11 Jul,7,230.93
23344,Gekkeikan Nama Sake,103,462.47
23345,Neyers Vyd Chard Carneros,328,8852.72
23349,Guigal Cotes du Rhone Rose,6,89.94
23350,Lapierre Raisins 14 Gaulois,115,1608.85
23353,Parducci True Grit 11 Cab Sv,4,63.96
23354,Paul Dolan Deep Red 10 Mendo,16,319.84000000000003
23356,Bacio Divino 12 Pazzo,1342,29510.579999999998
23357,Saddleback Clrs 09 Cab Svgn,25,949.75
23359,Ferrari Carano Cab Svgn Rsv,14,643.86
23360,Ninety+Cellars Lot 35 Tempo,378,4154.22
23361,Boundary Breaks Rsl Rsv #198,18,359.82
23362,Boundary Breaks Dry Rsl #239,10,189.89999999999998
23364,Elderton E Series Shiraz/Cab,14,251.85999999999999
23365,Elderton Barossa Shiraz,167,3672.3299999999995
23366,DeWetshof Limestone Hl Chard,252,3777.4800000000005
23373,M D 20/20 Banana Red,142,566.58
23379,Luiano Sangiovese,186,2230.14
23382,Haywood Chamizal Znfdl 09,48,767.52
23383,Vivanco Rioja Rsva 08,2,33.98
23385,Dom Roux Bourgogne Chard,152,3038.4799999999996
23386,Dom Roux Bourgogne Pnt Nr,127,2538.73
23387,Middle Sister Malbec,944,9430.56
23388,Light Horse Cab Svgn,187,2242.13
23389,Opici Fish Bottle Bianco,356,4268.4400000000005
23391,Trombetta Family Pnt Nr Gaps,9,629.91
23398,Treana Chard CC,17,305.83
23399,Summers Est Cab S Andriana C,9,143.91
23406,The Naked Grape Box Merlot,178,2846.22
23411,Gloria Ferrer Royal Cuvee,19,512.81
23412,Gloria Ferrer Carneros Cuvee,20,1199.8
23413,Trinchero Napa Haystack Cab,2,139.98
23415,Darkhorse Svgn Bl,412,3291.88
23420,Dom D'Andezon CdRhone Red,410,5325.9
23423,Santa Rita RSV Chard,192,1918.08
23425,La Jota Howell Mtn Merlot,9,584.91
23426,Mt Brave Malbec Mt Veeder,22,1583.78
23430,Ninety+Cellars Lot 118 Svgn,9,116.91
23432,Perrusset Macon Villages,412,6587.88
23433,Bruno Colin Chass-Mont Morge,3,269.96999999999997
23434,Bruno Colin Chass-Mont Rouge,23,1586.77
23436,Dom R Bouvier Marsny Rose 14,32,607.68
23438,Frost Bitten Ice Rsl,200,2598.0
23451,Terra Mia Lacryma Christi Wh,5,62.45
23452,Santa Rita Secret Rsv Red,331,2975.69
23460,Marilyn Meritage Red,158,7740.42
23464,Kendall Jackson Pnt Gris VR,445,4890.55
23466,R Merlo Blackbird Red,42,629.58
23468,Il Poggione di Montalcino,1,178.99
23469,Hugel Les Amours Pnt Bl,106,1270.94
23470,Bullet Proof Picasso Svgn Bl,20,219.8
23471,Three Wishes Pnt Grigio Colm,13,42.77
23472,Dom Vocoret & Fils Chabls 13,45,854.55
23473,Auvigue Saint-Veran 13,55,961.9499999999999
23474,Anew Rose,294,2937.06
23475,Ghostwriter Chard Santa Cruz,17,492.83
23477,Luna di Luna Prosecco,21,356.78999999999996
23479,HandCraft Pnt Grigio,427,4265.7300000000005
23493,Ch Bouscaut Rouge 11 GCG,45,1574.55
23495,Ch Cantegril Sauternes 11,3,53.97
23497,Ch Gruaud Larose 11 St Julin,7,559.93
23498,Coste di Brenta Cerasuolo,7,76.93
23510,Plantaze Vranac Montenegro,130,1428.7
23511,Plantaze Cab Montenegro,169,1857.3100000000002
23512,Plantaze Krstac Montenegro W,197,2263.53
23513,Plantaze Merlot Montenegro W,176,1934.24
23514,Plantaze Vranac ProCorde Red,188,2536.12
23516,Chloe Pnt Nr,385,4231.15
23517,Luiano Rosato,0,0.0
23518,Bolla Prosecco 2 Pk,15,131.85
23519,Slow Press Chard,523,3917.27
23520,Slow Press Cab Svgn,65,974.35
23521,Insurrection Cab/Shiraz,414,4549.860000000001
23522,13 Celsius Svgn Bl,402,4417.9800000000005
23523,19 Crimes Cab Svgn,617,6163.83
23524,Kesseler Rsl R Kabinett,23,275.77
23525,La Vieille Ferme Red B/B,7,174.93
23527,Santa Maria Alla Pieve Valpo,6,479.93999999999994
23528,Santa Maria Alla Pieve Soave,81,1133.19
23530,Santa Maria Alla Pieve Ripas,32,799.68
23533,Yellow Tail Moscato Bubbles,5,64.95
23534,Zenato Alanera Rosso Verones,143,2572.5699999999997
23535,Wente Pnt Nr Riva Ranch,116,1912.84
23539,Vin Vault Chard,191,3818.0899999999997
23541,Vin Vault Malbec,6,119.94
